Reservation_Status_Date,Assigned_Type_A_Count,Reserved_Type_A_Count
27/06/2015,12.0,12
27/06/2016,16.0,21
27/06/2017,16.0,19
27/07/2015,18.0,26
27/07/2016,18.0,22
27/07/2017,21.0,23
27/08/2015,16.0,19
27/08/2016,19.0,22
27/08/2017,18.0,20
27/09/2015,7.0,12
27/09/2016,16.0,19
27/10/2015,14.0,17
27/10/2016,36.0,54
27/11/2015,12.0,23
27/11/2016,10.0,33
27/12/2015,11.0,24
27/12/2016,10.0,13
28/01/2016,19.0,37
28/01/2017,12.0,22
28/02/2016,9.0,17
28/02/2017,59.0,74
28/03/2015,1.0,1
28/03/2016,29.0,37
28/03/2017,18.0,19
28/04/2015,25.0,25
28/04/2016,21.0,41
28/04/2017,11.0,22
28/05/2015,3.0,3
28/05/2016,9.0,10
28/05/2017,26.0,29
28/06/2016,19.0,22
28/06/2017,23.0,26
28/07/2015,10.0,13
28/07/2016,14.0,18
28/07/2017,17.0,18
28/08/2015,22.0,26
28/08/2016,22.0,25
28/08/2017,11.0,17
28/09/2015,50.0,57
28/09/2016,14.0,17
28/10/2015,19.0,27
28/10/2016,22.0,31
28/11/2015,15.0,24
28/11/2016,12.0,17
28/12/2015,19.0,30
28/12/2016,16.0,18
29/01/2016,9.0,31
29/01/2017,29.0,48
29/02/2016,59.0,88
29/03/2016,55.0,61
29/03/2017,24.0,34
29/04/2015,24.0,24
29/04/2016,20.0,35
29/04/2017,47.0,63
29/05/2015,9.0,9
29/05/2016,24.0,29
29/05/2017,19.0,25
29/06/2015,6.0,6
29/06/2016,15.0,18
29/06/2017,16.0,16
29/07/2015,16.0,22
29/07/2016,12.0,14
29/07/2017,15.0,16
29/08/2015,15.0,22
29/08/2016,18.0,20
29/08/2017,10.0,11
29/09/2015,9.0,18
29/09/2016,39.0,45
29/10/2015,39.0,50
29/10/2016,32.0,37
29/11/2015,29.0,42
29/11/2016,8.0,22
29/12/2015,28.0,41
29/12/2016,33.0,40
30/01/2015,27.0,27
30/01/2016,1.0,8
30/01/2017,40.0,52
30/03/2015,1.0,1
30/03/2016,23.0,34
30/03/2017,29.0,41
30/04/2016,36.0,43
30/04/2017,24.0,31
30/05/2016,33.0,73
30/05/2017,15.0,20
30/06/2015,6.0,6
30/06/2016,27.0,31
30/06/2017,22.0,25
30/07/2015,32.0,41
30/07/2016,17.0,20
30/07/2017,14.0,14
30/08/2015,27.0,29
30/08/2016,16.0,19
30/08/2017,10.0,11
30/09/2015,23.0,33
30/09/2016,15.0,16
30/10/2015,24.0,29
30/10/2016,35.0,44
30/11/2015,35.0,40
